transaction_id,date,store_id,product_id,customer_id,quantity,net_revenue
TXN-000127,2024-01-04,S002,P0003,CUST-00687,1,630.99
TXN-000128,2024-01-04,S002,P0004,CUST-01408,1,312.32
TXN-000129,2024-01-04,S002,P0007,CUST-01667,1,731.38
TXN-000130,2024-01-04,S002,P0008,CUST-01408,2,907.02
TXN-000131,2024-01-04,S002,P0009,CUST-00284,2,943.34
TXN-000132,2024-01-04,S002,P0010,CUST-01455,2,826.2
TXN-000133,2024-01-04,S003,P0001,CUST-01560,1,270.3
TXN-000134,2024-01-04,S003,P0003,CUST-00713,1,630.99
TXN-000135,2024-01-04,S003,P0005,CUST-00789,3,1471.29
TXN-000136,2024-01-04,S003,P0007,CUST-01289,2,1462.76
TXN-000137,2024-01-04,S003,P0008,CUST-00968,1,453.51
TXN-000138,2024-01-04,S003,P0009,CUST-01321,1,471.67
TXN-000139,2024-01-04,S003,P0010,CUST-01773,1,413.1
TXN-000140,2024-01-04,S004,P0002,CUST-01677,2,190.08
TXN-000141,2024-01-04,S004,P0003,CUST-01792,1,630.99
TXN-000142,2024-01-04,S004,P0005,CUST-00762,4,1961.72
TXN-000143,2024-01-04,S004,P0007,CUST-00088,1,731.38
TXN-000144,2024-01-04,S004,P0008,CUST-00710,1,453.51
TXN-000145,2024-01-04,S004,P0009,CUST-01672,1,471.67
TXN-000146,2024-01-04,S005,P0001,CUST-00581,1,270.3
TXN-000147,2024-01-04,S005,P0005,CUST-01153,1,490.43
TXN-000148,2024-01-04,S005,P0007,CUST-00056,1,731.38
TXN-000149,2024-01-04,S005,P0008,CUST-01269,2,907.02
TXN-000150,2024-01-04,S005,P0009,CUST-00286,3,1415.01
TXN-000151,2024-01-05,S001,P0004,CUST-01054,1,312.32
TXN-000152,2024-01-05,S001,P0005,CUST-01560,3,1471.29
TXN-000153,2024-01-05,S001,P0006,CUST-01664,1,479.2
TXN-000154,2024-01-05,S001,P0009,CUST-00452,3,1415.01
TXN-000155,2024-01-05,S002,P0001,CUST-01101,1,270.3
TXN-000156,2024-01-05,S002,P0002,CUST-01392,1,95.04
TXN-000157,2024-01-05,S002,P0003,CUST-01618,2,1261.98
TXN-000158,2024-01-05,S002,P0004,CUST-01774,3,936.96
TXN-000159,2024-01-05,S002,P0005,CUST-01800,3,1471.29
TXN-000160,2024-01-05,S002,P0007,CUST-00801,2,1462.76
TXN-000161,2024-01-05,S002,P0008,CUST-01707,2,907.02
TXN-000162,2024-01-05,S002,P0009,CUST-00067,4,1886.68
TXN-000163,2024-01-05,S003,P0001,CUST-00663,1,270.3
TXN-000164,2024-01-05,S003,P0002,CUST-00469,2,190.08
TXN-000165,2024-01-05,S003,P0003,CUST-00026,3,1892.97
TXN-000166,2024-01-05,S003,P0005,CUST-01051,5,2452.15
TXN-000167,2024-01-05,S003,P0007,CUST-00036,2,1462.76
TXN-000168,2024-01-05,S003,P0008,CUST-00686,1,453.51
TXN-000169,2024-01-05,S003,P0009,CUST-01638,2,943.34
TXN-000170,2024-01-05,S003,P0010,CUST-00785,1,413.1
TXN-000171,2024-01-05,S004,P0001,CUST-00677,3,810.9000000000001
TXN-000172,2024-01-05,S004,P0002,CUST-00076,1,95.04
TXN-000173,2024-01-05,S004,P0005,CUST-01893,3,1471.29
TXN-000174,2024-01-05,S004,P0006,CUST-01682,2,958.4
TXN-000175,2024-01-05,S004,P0008,CUST-00355,1,453.51
TXN-000176,2024-01-05,S004,P0009,CUST-00462,3,1415.01
TXN-000177,2024-01-05,S004,P0010,CUST-01268,2,826.2
TXN-000178,2024-01-05,S005,P0002,CUST-01475,1,95.04
TXN-000179,2024-01-05,S005,P0005,CUST-01410,1,490.43
TXN-000180,2024-01-05,S005,P0007,CUST-00489,1,731.38
TXN-000181,2024-01-05,S005,P0008,CUST-01594,1,453.51
TXN-000182,2024-01-05,S005,P0009,CUST-01679,1,471.67
TXN-000183,2024-01-06,S001,P0001,CUST-00323,1,270.3
TXN-000184,2024-01-06,S001,P0002,CUST-01673,7,665.2800000000001
TXN-000185,2024-01-06,S001,P0003,CUST-00919,3,1892.97
TXN-000186,2024-01-06,S001,P0005,CUST-00426,3,1471.29
TXN-000187,2024-01-06,S001,P0009,CUST-00162,2,943.34
TXN-000188,2024-01-06,S001,P0010,CUST-01846,2,826.2
TXN-000189,2024-01-06,S002,P0001,CUST-01565,3,810.9000000000001
TXN-000190,2024-01-06,S002,P0002,CUST-00156,1,95.04
TXN-000191,2024-01-06,S002,P0003,CUST-01170,2,1261.98
TXN-000192,2024-01-06,S002,P0005,CUST-01183,2,980.86
TXN-000193,2024-01-06,S002,P0006,CUST-01911,1,479.2
TXN-000194,2024-01-06,S002,P0007,CUST-00412,1,731.38
TXN-000195,2024-01-06,S002,P0009,CUST-01070,2,943.34
TXN-000196,2024-01-06,S003,P0001,CUST-00842,2,540.6
TXN-000197,2024-01-06,S003,P0002,CUST-01277,1,95.04
TXN-000198,2024-01-06,S003,P0003,CUST-01957,1,630.99
TXN-000199,2024-01-06,S003,P0004,CUST-00157,2,624.64
TXN-000200,2024-01-06,S003,P0005,CUST-01282,1,490.43
TXN-000201,2024-01-06,S003,P0006,CUST-01763,1,479.2
TXN-000202,2024-01-06,S003,P0008,CUST-01091,1,453.51
TXN-000203,2024-01-06,S003,P0009,CUST-00110,2,943.34
TXN-000204,2024-01-06,S003,P0010,CUST-00727,1,413.1
TXN-000205,2024-01-06,S004,P0001,CUST-01018,2,540.6
TXN-000206,2024-01-06,S004,P0002,CUST-01569,1,95.04
TXN-000207,2024-01-06,S004,P0003,CUST-01613,1,630.99
TXN-000208,2024-01-06,S004,P0005,CUST-00783,1,490.43
TXN-000209,2024-01-06,S004,P0006,CUST-01574,1,479.2
TXN-000210,2024-01-06,S004,P0007,CUST-01164,1,731.38
TXN-000211,2024-01-06,S004,P0008,CUST-01911,2,907.02
TXN-000212,2024-01-06,S004,P0009,CUST-01523,4,1886.68
TXN-000213,2024-01-06,S004,P0010,CUST-00256,3,1239.3000000000002
TXN-000214,2024-01-06,S005,P0001,CUST-01088,3,810.9000000000001
TXN-000215,2024-01-06,S005,P0002,CUST-01562,4,380.16
TXN-000216,2024-01-06,S005,P0004,CUST-00285,1,312.32
TXN-000217,2024-01-06,S005,P0005,CUST-01880,2,980.86
TXN-000218,2024-01-06,S005,P0006,CUST-00995,1,479.2
TXN-000219,2024-01-06,S005,P0007,CUST-01993,3,2194.14
TXN-000220,2024-01-06,S005,P0008,CUST-01186,1,453.51
TXN-000221,2024-01-06,S005,P0009,CUST-00262,4,1886.68
TXN-000222,2024-01-07,S001,P0001,CUST-00122,3,810.9000000000001
TXN-000223,2024-01-07,S001,P0003,CUST-01437,1,630.99
TXN-000224,2024-01-07,S001,P0004,CUST-01088,1,312.32
TXN-000225,2024-01-07,S001,P0005,CUST-00358,2,980.86
TXN-000226,2024-01-07,S001,P0008,CUST-00893,1,453.51
TXN-000227,2024-01-07,S001,P0009,CUST-00939,3,1415.01
TXN-000228,2024-01-07,S002,P0001,CUST-01227,2,540.6
TXN-000229,2024-01-07,S002,P0002,CUST-01691,1,95.04
TXN-000230,2024-01-07,S002,P0003,CUST-00650,1,630.99
TXN-000231,2024-01-07,S002,P0004,CUST-01313,2,624.64
TXN-000232,2024-01-07,S002,P0005,CUST-01310,2,980.86
TXN-000233,2024-01-07,S002,P0006,CUST-01378,2,958.4
TXN-000234,2024-01-07,S002,P0007,CUST-01632,2,1462.76
TXN-000235,2024-01-07,S002,P0008,CUST-00781,1,453.51
TXN-000236,2024-01-07,S002,P0009,CUST-00879,3,1415.01
TXN-000237,2024-01-07,S003,P0001,CUST-01639,1,270.3
TXN-000238,2024-01-07,S003,P0002,CUST-00647,2,190.08
TXN-000239,2024-01-07,S003,P0003,CUST-00732,3,1892.97
TXN-000240,2024-01-07,S003,P0005,CUST-01216,2,980.86
TXN-000241,2024-01-07,S003,P0007,CUST-01735,1,731.38
TXN-000242,2024-01-07,S003,P0008,CUST-00140,1,453.51
TXN-000243,2024-01-07,S003,P0009,CUST-01795,3,1415.01
TXN-000244,2024-01-07,S004,P0001,CUST-01603,1,270.3
TXN-000245,2024-01-07,S004,P0003,CUST-00068,2,1261.98
TXN-000246,2024-01-07,S004,P0004,CUST-00399,1,312.32
TXN-000247,2024-01-07,S004,P0005,CUST-00097,1,490.43
TXN-000248,2024-01-07,S004,P0007,CUST-00353,1,731.38
TXN-000249,2024-01-07,S004,P0008,CUST-01518,1,453.51
TXN-000250,2024-01-07,S004,P0009,CUST-01078,6,2830.02
TXN-000251,2024-01-07,S005,P0001,CUST-01652,1,270.3
TXN-000252,2024-01-07,S005,P0002,CUST-00719,3,285.12
TXN-000253,2024-01-07,S005,P0004,CUST-00566,1,312.32
TXN-000254,2024-01-07,S005,P0005,CUST-00890,3,1471.29
TXN-000255,2024-01-07,S005,P0006,CUST-01145,1,479.2
TXN-000256,2024-01-07,S005,P0007,CUST-01155,2,1462.76
TXN-000257,2024-01-07,S005,P0008,CUST-01820,1,453.51
TXN-000258,2024-01-07,S005,P0009,CUST-01396,1,471.67
TXN-000259,2024-01-08,S001,P0001,CUST-01484,4,1081.2
TXN-000260,2024-01-08,S001,P0002,CUST-01894,2,190.08
TXN-000261,2024-01-08,S001,P0003,CUST-01201,1,630.99
TXN-000262,2024-01-08,S001,P0004,CUST-01679,4,1249.28
TXN-000263,2024-01-08,S001,P0005,CUST-01487,1,490.43
TXN-000264,2024-01-08,S001,P0006,CUST-00230,1,479.2
TXN-000265,2024-01-08,S001,P0009,CUST-01371,1,471.67
TXN-000266,2024-01-08,S001,P0010,CUST-01095,1,413.1
TXN-000267,2024-01-08,S002,P0001,CUST-01184,2,540.6
TXN-000268,2024-01-08,S002,P0002,CUST-01174,2,190.08
TXN-000269,2024-01-08,S002,P0003,CUST-01433,2,1261.98
TXN-000270,2024-01-08,S002,P0004,CUST-01332,1,312.32
TXN-000271,2024-01-08,S002,P0005,CUST-01661,1,490.43
TXN-000272,2024-01-08,S002,P0007,CUST-00124,2,1462.76
TXN-000273,2024-01-08,S002,P0010,CUST-01803,1,413.1
TXN-000274,2024-01-08,S003,P0001,CUST-00027,4,1081.2
TXN-000275,2024-01-08,S003,P0003,CUST-00762,2,1261.98
TXN-000276,2024-01-08,S003,P0004,CUST-01194,2,624.64
TXN-000277,2024-01-08,S003,P0006,CUST-01911,2,958.4
TXN-000278,2024-01-08,S003,P0008,CUST-01146,1,453.51
TXN-000279,2024-01-08,S003,P0009,CUST-00945,2,943.34
TXN-000280,2024-01-08,S003,P0010,CUST-01912,1,413.1
TXN-000281,2024-01-08,S004,P0003,CUST-01800,1,630.99
TXN-000282,2024-01-08,S004,P0004,CUST-01353,3,936.96
TXN-000283,2024-01-08,S004,P0005,CUST-00400,1,490.43
TXN-000284,2024-01-08,S004,P0006,CUST-01017,1,479.2
TXN-000285,2024-01-08,S004,P0007,CUST-01086,2,1462.76
TXN-000286,2024-01-08,S004,P0008,CUST-01560,1,453.51
TXN-000287,2024-01-08,S004,P0009,CUST-01979,3,1415.01
TXN-000288,2024-01-08,S004,P0010,CUST-00418,1,413.1
TXN-000289,2024-01-08,S005,P0001,CUST-01864,2,540.6
TXN-000290,2024-01-08,S005,P0002,CUST-01755,1,95.04
TXN-000291,2024-01-08,S005,P0003,CUST-01919,1,630.99
TXN-000292,2024-01-08,S005,P0004,CUST-01591,2,624.64
TXN-000293,2024-01-08,S005,P0005,CUST-01704,3,1471.29
TXN-000294,2024-01-08,S005,P0007,CUST-01619,1,731.38
TXN-000295,2024-01-08,S005,P0008,CUST-01119,2,907.02
TXN-000296,2024-01-08,S005,P0009,CUST-00720,3,1415.01
TXN-000297,2024-01-08,S005,P0010,CUST-01697,3,1239.3000000000002
TXN-000298,2024-01-09,S001,P0002,CUST-00572,3,285.12
TXN-000299,2024-01-09,S001,P0003,CUST-00725,1,630.99
TXN-000300,2024-01-09,S001,P0004,CUST-00157,2,624.64
TXN-000301,2024-01-09,S001,P0005,CUST-01602,5,2452.15
TXN-000302,2024-01-09,S001,P0006,CUST-00510,1,479.2
TXN-000303,2024-01-09,S001,P0009,CUST-00528,2,943.34
TXN-000304,2024-01-09,S002,P0001,CUST-01552,2,540.6
TXN-000305,2024-01-09,S002,P0005,CUST-00975,3,1471.29
TXN-000306,2024-01-09,S002,P0006,CUST-01993,1,479.2
TXN-000307,2024-01-09,S002,P0008,CUST-01278,2,907.02
TXN-000308,2024-01-09,S002,P0009,CUST-01184,1,471.67
TXN-000309,2024-01-09,S003,P0001,CUST-01264,4,1081.2
TXN-000310,2024-01-09,S003,P0002,CUST-01143,1,95.04
TXN-000311,2024-01-09,S003,P0003,CUST-00180,1,630.99
TXN-000312,2024-01-09,S003,P0004,CUST-00299,3,936.96
TXN-000313,2024-01-09,S003,P0005,CUST-01516,3,1471.29
TXN-000314,2024-01-09,S003,P0007,CUST-00780,1,731.38
TXN-000315,2024-01-09,S003,P0008,CUST-00028,1,453.51
TXN-000316,2024-01-09,S003,P0009,CUST-01769,2,943.34
TXN-000317,2024-01-09,S003,P0010,CUST-01525,2,826.2
TXN-000318,2024-01-09,S004,P0001,CUST-01415,2,540.6
TXN-000319,2024-01-09,S004,P0002,CUST-01647,2,190.08
TXN-000320,2024-01-09,S004,P0003,CUST-01467,2,1261.98
TXN-000321,2024-01-09,S004,P0005,CUST-00176,2,980.86
TXN-000322,2024-01-09,S004,P0006,CUST-01652,2,958.4
TXN-000323,2024-01-09,S004,P0007,CUST-00714,1,731.38
TXN-000324,2024-01-09,S004,P0008,CUST-00033,1,453.51
TXN-000325,2024-01-09,S004,P0010,CUST-01704,3,1239.3000000000002
TXN-000326,2024-01-09,S005,P0001,CUST-01735,1,270.3
TXN-000327,2024-01-09,S005,P0003,CUST-01616,2,1261.98
TXN-000328,2024-01-09,S005,P0005,CUST-00816,7,3433.01
TXN-000329,2024-01-09,S005,P0007,CUST-01221,1,731.38
TXN-000330,2024-01-09,S005,P0008,CUST-00955,1,453.51
TXN-000331,2024-01-09,S005,P0009,CUST-00720,1,471.67
TXN-000332,2024-01-09,S005,P0010,CUST-00236,1,413.1
TXN-000333,2024-01-10,S001,P0001,CUST-01578,2,540.6
TXN-000334,2024-01-10,S001,P0002,CUST-01357,5,475.20000000000005
TXN-000335,2024-01-10,S001,P0004,CUST-01111,1,312.32
TXN-000336,2024-01-10,S001,P0005,CUST-00491,2,980.86
TXN-000337,2024-01-10,S001,P0007,CUST-01133,1,731.38
TXN-000338,2024-01-10,S001,P0008,CUST-01895,2,907.02
TXN-000339,2024-01-10,S001,P0009,CUST-00437,2,943.34
TXN-000340,2024-01-10,S001,P0010,CUST-00279,2,826.2
TXN-000341,2024-01-10,S002,P0001,CUST-00370,1,270.3
TXN-000342,2024-01-10,S002,P0002,CUST-01170,1,95.04
TXN-000343,2024-01-10,S002,P0004,CUST-00380,3,936.96
TXN-000344,2024-01-10,S002,P0005,CUST-01740,1,490.43
TXN-000345,2024-01-10,S002,P0008,CUST-01213,1,453.51
TXN-000346,2024-01-10,S002,P0009,CUST-01658,2,943.34
TXN-000347,2024-01-10,S003,P0001,CUST-01245,2,540.6
TXN-000348,2024-01-10,S003,P0004,CUST-00876,2,624.64
TXN-000349,2024-01-10,S003,P0005,CUST-00746,1,490.43
TXN-000350,2024-01-10,S003,P0006,CUST-01046,1,479.2
TXN-000351,2024-01-10,S003,P0007,CUST-00570,1,731.38
TXN-000352,2024-01-10,S003,P0009,CUST-01295,3,1415.01
TXN-000353,2024-01-10,S003,P0010,CUST-01285,2,826.2
TXN-000354,2024-01-10,S004,P0001,CUST-00159,4,1081.2
TXN-000355,2024-01-10,S004,P0002,CUST-01882,1,95.04
TXN-000356,2024-01-10,S004,P0004,CUST-01234,3,936.96
TXN-000357,2024-01-10,S004,P0005,CUST-01619,3,1471.29
TXN-000358,2024-01-10,S004,P0007,CUST-00671,2,1462.76
TXN-000359,2024-01-10,S004,P0008,CUST-01477,2,907.02
TXN-000360,2024-01-10,S004,P0009,CUST-01760,1,471.67
TXN-000361,2024-01-10,S004,P0010,CUST-01353,3,1239.3000000000002
TXN-000362,2024-01-10,S005,P0002,CUST-00319,2,190.08
TXN-000363,2024-01-10,S005,P0003,CUST-00355,4,2523.96
TXN-000364,2024-01-10,S005,P0004,CUST-01805,3,936.96
TXN-000365,2024-01-10,S005,P0005,CUST-00816,3,1471.29
TXN-000366,2024-01-10,S005,P0006,CUST-01552,1,479.2
TXN-000367,2024-01-10,S005,P0008,CUST-01560,4,1814.04
TXN-000368,2024-01-10,S005,P0009,CUST-00616,1,471.67
TXN-000369,2024-01-10,S005,P0010,CUST-00855,1,413.1
TXN-000370,2024-01-11,S001,P0001,CUST-00477,2,540.6
TXN-000371,2024-01-11,S001,P0002,CUST-00014,1,95.04
TXN-000372,2024-01-11,S001,P0003,CUST-00365,3,1892.97
TXN-000373,2024-01-11,S001,P0004,CUST-01981,1,312.32
TXN-000374,2024-01-11,S001,P0005,CUST-01469,4,1961.72
TXN-000375,2024-01-11,S001,P0006,CUST-01560,1,479.2
TXN-000376,2024-01-11,S001,P0007,CUST-01995,1,731.38
TXN-000377,2024-01-11,S002,P0001,CUST-00304,2,540.6
TXN-000378,2024-01-11,S002,P0002,CUST-01786,6,570.24
TXN-000379,2024-01-11,S002,P0003,CUST-01595,3,1892.97
TXN-000380,2024-01-11,S002,P0004,CUST-01777,1,312.32
TXN-000381,2024-01-11,S002,P0005,CUST-01711,2,980.86
TXN-000382,2024-01-11,S002,P0007,CUST-00306,1,731.38
TXN-000383,2024-01-11,S002,P0008,CUST-00462,3,1360.53
TXN-000384,2024-01-11,S002,P0010,CUST-00625,3,1239.3000000000002
TXN-000385,2024-01-11,S003,P0001,CUST-01802,2,540.6
TXN-000386,2024-01-11,S003,P0002,CUST-00473,2,190.08
TXN-000387,2024-01-11,S003,P0003,CUST-01074,1,630.99
TXN-000388,2024-01-11,S003,P0004,CUST-00919,1,312.32
TXN-000389,2024-01-11,S003,P0005,CUST-01457,3,1471.29
TXN-000390,2024-01-11,S003,P0006,CUST-00712,2,958.4
TXN-000391,2024-01-11,S003,P0007,CUST-00383,1,731.38
TXN-000392,2024-01-11,S003,P0008,CUST-01996,1,453.51
TXN-000393,2024-01-11,S003,P0009,CUST-01830,1,471.67
TXN-000394,2024-01-11,S004,P0001,CUST-01265,3,810.9000000000001
TXN-000395,2024-01-11,S004,P0004,CUST-01633,4,1249.28
TXN-000396,2024-01-11,S004,P0005,CUST-00321,6,2942.58
TXN-000397,2024-01-11,S004,P0007,CUST-00547,2,1462.76
TXN-000398,2024-01-11,S004,P0009,CUST-01706,1,471.67
TXN-000399,2024-01-11,S005,P0001,CUST-01785,2,540.6
TXN-000400,2024-01-11,S005,P0002,CUST-01745,2,190.08
TXN-000401,2024-01-11,S005,P0003,CUST-00244,1,630.99
TXN-000402,2024-01-11,S005,P0004,CUST-01237,1,312.32
TXN-000403,2024-01-11,S005,P0005,CUST-01347,4,1961.72
TXN-000404,2024-01-11,S005,P0009,CUST-01692,4,1886.68
